"","","PERNO, TUERCA Y CONJUNTO CHUPÓN"
"","DINA®","DINA® DINA®"
"","","TUERCA CONJUNTO"
"","PERNO CHUPÓN",""
"","","CHUPÓN CHUPÓN"
"","","Imagen referencial"
"","","PERNO CHUPÓN R/L"
"","","ROSCA ROSCA EMP."
"","CÓDIGO","DESCRIPCIÓN"
"","","INTERNA EXTERNA (uds.) CAJA P. V."
"","A072010/11 VOLVO, FORD, INTERNATIONAL, MACK","3/4"" - 16 UNF 1 1/8"" - 16 5 120 PZA $2.55"
"","A075120/21","FUSO CANTER, FUSO ROSA, ASIA M19 x 1.50 M28 x 1.50 5 140 PZA $2.29"
"","FUSO, TOYOTA COASTER, DYNA, ISUZU",""
"","A075110/11 NPR, NISSAN CONDOR, HINO, ASIA","M20 x 1.50 M30 x 1.50 5"
"","","COSMOS 140 PZA $2.80"
"","A075124/25","MAZDA M18 x 1.50 M27 x 1.50 5 140 PZA $2.40"
"","A075130/31","NISSAN CIVILIAN M18 x 1.50 M25 x 1.50 5 160 PZA $2.30"
"","A075132/33","ISUZU, ASIA COMBI M16 x 1.50 M25 x 1.50 5 100 PZA $2.18"
"","","PRECIO DE VENTA POR UNIDAD (INC. IGV)"
"","","TUERCA CHUPÓN R/L"
"","","HEX EMP."
"","CÓDIGO","DESCRIPCIÓN ROSCA"
"","","(mm.) (uds.) CAJA P. V."
"","","VOLVO, FORD, INTERNATIONAL,"
"","A072110/11","1 1/8"" - 16 1 1/2"" 5"
"","","MACK 200 PZA $2.04"
"","A075020/21","FUSO CANTER, FUSO ROSA, ASIA M28 x 1.50 38 5 200 PZA $1.51"
"","","FUSO, TOYOTA COASTER, DYNA,"
"","A075010/11","ISUZU NPR, NISSAN CONDOR, HINO, M30 x 1.50 41 5"
"","","ASIA COSMOS 150 PZA $1.55"
"","A075014/54","MAZDA M27 x 1.50 41 5 100 PZA $2.11"
"","A075030/31","NISSAN CIVILIAN M25 x 1.50 35 5 100 PZA $1.32"
"","A075030/31","ISUZU, ASIA COMBI M25 x 1.50 35 5 100 PZA $1.32"
"","","PRECIO DE VENTA POR UNIDAD (INC. IGV)"
"","","CONJUNTO CHUPÓN R/L"
"","","EMP."
"","CÓDIGO","DESCRIPCIÓN"
"","","(uds.) CAJA P. V."
"","A073010/11","VOLVO, FORD, INTERNATIONAL, MACK 5 75 JGO $3.06"
"","A075220/21","FUSO CANTER, FUSO ROSA, ASIA 5 80 JGO $3.80"
"","","FUSO, TOYOTA COASTER, DYNA, ISUZU"
"","A075210/11","NPR, NISSAN CONDOR, HINO, ASIA 5"
"","","COSMOS 80 JGO $3.04"
"","A075214/15","MAZDA 5 80 JGO $3.69"
"","A075230/31","NISSAN CIVILIAN 5 90 JGO $2.31"
"","A075232/33","ISUZU, ASIA COMBI 5 100 JGO $2.54"
"","","PRECIO DE VENTA POR UNIDAD (INC. IGV)"
"36","","@dinafastener Índice"
