"","PERNO TEMPLADOR","","","",""
"","DINA®","","","",""
"","","","","Imagen referencial",""
"","PERNO TEMPLADOR CL 10.9","","","",""
"","L EMP.","","","",""
"","CÓDIGO ROSCA","","CAJA","P. V.",""
"","(mm.) (uds.)","","","",""
"","AE0E000001 M12 X 1.25 160 10","","PZA","$2.56",""
"","AE0E000002 M12 X 1.25 180 10","","PZA","$2.61",""
"","AE0E000003 M12 X 1.25 200 10","","PZA","$2.91",""
"","AE0E000004 M12 X 1.50 160 10","","PZA","$1.99",""
"","AE0E000005 M12 X 1.50 180 10","","PZA","$2.56",""
"","AE0E000006 M12 X 1.50 200 10","","PZA","$2.87",""
"","AE0E000008 M14 X 1.50 180 10","","PZA","$3.22",""
"","AE0E000009 M14 X 1.50 200 10","","PZA","$3.41",""
"","AE0E000010 M14 X 1.50 225 10","","PZA","$3.50",""
"","AE0E000011 M16 X 1.50 200 5","","PZA","$4.74",""
"","AE0E000012 M18 X 1.50 200 5","","PZA","$5.05",""
"","AE0E000015 M18 X 1.50 300 5","","","",""
"","AE0E000016 M18 X 1.50 320 5","","","",""
"","AE0E000013 M20 X 1.50 200 5","","PZA","$6.48",""
"","PRECIO DE VENTA POR UNIDAD (INC. IGV)","","","",""
"","DINA®","","","",""
"","","","","Imagen referencial",""
"","PERNO TEMPLADOR HINO 500 CL. 10.9","","","",""
"","L EMP.","","","",""
"","CÓDIGO ROSCA","","CAJA","P. V.",""
"","(mm.) (uds.)","","","",""
"","A621856 M18 X 1.50 280 5","","50 PZA","$6.32",""
"","PRECIO DE VENTA POR UNIDAD (INC. IGV)","","","",""
"Índice","www.dina.com.pe","","","","155"
