"",LÍNEA TORNILLERÍA,,
"",TIRAFÓN HEXAGONAL PARA MADERA - ZINCADO,,
"",E6004 E6005 E6006 E6008,E6010,
CÓD.,"LARGO Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 1/2"" Ø 5/8""",,
03,"3/4""",,
"",$3.35 $7.49 $10.11,,
04,"1""",,
"",30 CTO 22 CTO 16 CTO,,
05,"1 1/4""",,
"",$4.34 $7.55 $11.52,,
06,"1 1/2""",,
"",25 CTO 15 CTO 12.5 CTO,,
"",$5.59 $10.44 $14.04 $27.77,,
08,"2""",,
"",21 CTO 15 CTO 9 CTO 5.5 CTO,,
"",$7.16 $12.17 $17.48 $32.93,,
10,"2 1/2""",,
"",13 CTO 11 CTO 7.5 CTO 5 CTO,,
"",$7.89 $12.38 $19.48 $40.60,,
12,"3""",,
"",14 CTO 9.5 CTO 7 CTO 3.5 CTO,,
13,"3 1/4""",,
"",$9.77 $15.61,,
14,"3 1/2""",,
"",12 CTO 8.5 CTO,,
"",$10.97 $17.37 $24.76 $48.98 $89.43,,
16,"4""",,
"",10 CTO 7.5 CTO 5.5 CTO 2.8 CTO 1.8 CTO,,
"",$12.40 $20.69 $30.93 $54.54,,
18,"4 1/2""",,
"",9.5 CTO 6 CTO 5 CTO 2.7 CTO,,
"",$13.11 $21.00 $31.23 $58.21 $107.96,,
20,"5""",,
"",8.5 CTO 6.3 CTO 4.5 CTO 2.5 CTO 1.4 CTO,,
"",$16.01,,
22,"5 1/2""",,
"",8 CTO,,
"",$16.46 $26.82 $36.56 $74.62 $123.23,,
24,"6""",,
"",7.5 CTO 5.5 CTO 3.8 CTO 1.5 CTO 1.3 CTO,,
"",$46.81 $85.46,,
28,"7""",,
"",3.3 CTO 1.65 CTO,,
"",$56.07 $101.95,,
32,"8""",,
"",2.8 CTO 1.5 CTO,,
36,"9""",,
40,"10""",,
"",PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
Índice,www.dina.com.pe,,91
