"",,,,LÍNEA INDUSTRIAL,,,
"",,,,PERNO HEXAGONAL PULGADA UNF - GR. 8 PAVONADO,,,
"",,,E2705,E2706 E2707 E2708 E2709 E2710 E2712 E2714,,E2716,
"",CÓD. LARGO,,"Ø 5/16""","Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8"" Ø 3/4"" Ø 7/8""",,"Ø 1""",
"",,,$7.53,,,,
"","03 3/4""",,,,,,
"",,,16 CTO,,,,
"",,,$8.63,$11.88 $16.47 $25.48,,,
"",04,"1""",,,,,
"",,,20 CTO,12.98 CTO 10 CTO 6.5 CTO,,,
"",,,,$13.84 $20.70,,,
"","05 1 1/4""",,,,,,
"",,,,11 CTO 6 CTO,,,
"",,,$10.80,$15.72 $22.68 $32.50 $42.36 $53.75,,,
"","06 1 1/2""",,,,,,
"",,,14 CTO,9.65 CTO 7.05 CTO 5 CTO 4 CTO 2.2 CTO,,,
"",,,$14.49,$20.02 $27.46 $40.30 $48.72 $61.48 $94.51,,,
"",08,"2""",,,,,
"",,,13 CTO,5.7 CTO 5.58 CTO 4 CTO 3.16 CTO 2.5 CTO 1.6 CTO,,,
"",,,,$24.73 $32.89 $48.24 $58.95 $73.88 $110.18,,,
"","10 2 1/2""",,,,,,
"",,,,4 CTO 3.5 CTO 3.32 CTO 2.4 CTO 2.1 CTO 1.3 CTO,,,
"",,,,$30.60 $40.67 $56.62 $72.85 $85.16 $127.61,,,
"",12,"3""",,,,,
"",,,,3.5 CTO 4 CTO 2.88 CTO 2.3 CTO 1.7 CTO 1.16 CTO,,,
"",,,,$66.97 $85.66 $100.09 $145.28,,$327.16,
"","14 3 1/2""",,,,,,
"",,,,1.9 CTO 2 CTO 1.5 CTO 1.05 CTO,,0.52 CTO,
"",,,,$56.60 $78.98 $100.37 $113.29 $159.70 $273.74,,$357.88,
"",16,"4""",,,,,
"",,,,3 CTO 1.7 CTO 1.6 CTO 1.3 CTO 0.9 CTO 0.65 CTO,,0.5 CTO,
"",,,,$129.94 $118.57 $130.41 $203.05 $328.21,,$428.62,
"",20,"5""",,,,,
"",,,,1.3 CTO 1.4 CTO 1.1 CTO 0.75 CTO 0.55 CTO,,0.4 CTO,
"",,,,$171.50 $235.45 $370.73,,$472.98,
"",24,"6""",,,,,
"",,,,0.95 CTO 0.4 CTO 0.45 CTO,,0.34 CTO,
"",,,,,,$633.78,
"",32,"8""",,,,,
"",,,,,,0.2 CTO,
"",,,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
"",,,,TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,
"",,,05,06 07 08 09 10 12 14,,16,
"",CÓD.,,"Ø 5/16""","Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8"" Ø 3/4"" Ø 7/8""",,"Ø 1""",
"",,,$2.97,$4.04 $7.12 $9.59 $15.02 $18.50 $29.67 $48.59,,$69.66,
"",E0802,,,,,,
"",,,55 CTO,36 CTO 20 CTO 20 CTO 10 CTO 8 CTO 5 CTO 2.5 CTO,,2 CTO,
"",,,,ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA,,,
"",,,05,06 07 08 09 10 12 14,,16,
"",CÓD.,,"Ø 5/16""","Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 9/16"" Ø 5/8"" Ø 3/4"" Ø 7/8""",,"Ø 1""",
"",,,$3.73,$4.37 $5.45 $8.52 $9.24 $12.98 $17.04 $21.81,,$25.96,
"",E1101,,,,,,
"",,,0 CTO,0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO,,0 CTO,
"",,,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
72,,,,@dinafastener,,Índice,72
