"",,LÍNEA INDUSTRIAL,,
"",,PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,,
"",,E2254 E2255 E2256 E2257 E2258 E2260,E2262,
"",CÓD.,"LARGO Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 5/8""","Ø 3/4""",
"",,$3.01 $5.07 $7.63,,
"",01,"1/2""",,
"",,48 CTO 29 CTO 18 CTO,,
"",,$3.32 $5.24,,
"",02,"5/8""",,
"",,43 CTO 26 CTO,,
"",,$3.67 $5.65 $8.13 $12.86 $18.94,,
"",03,"3/4""",,
"",,38.5 CTO 24 CTO 17 CTO 11 CTO 7.75 CTO,,
"",,$4.24 $6.55 $9.50 $15.05 $20.08,,
"",04,"1""",,
"",,33 CTO 20 CTO 13.5 CTO 11 CTO 6.6 CTO,,
"",,$5.02 $7.92 $11.07 $16.99 $23.39,,
"",05,"1 1/4""",,
"",,28 CTO 17.5 CTO 12 CTO 8.5 CTO 6 CTO,,
"",,$5.51 $8.48 $12.48 $17.55 $24.91 $43.11,$73.42,
"",06,"1 1/2""",,
"",,24 CTO 16 CTO 10.5 CTO 7.5 CTO 5.4 CTO 3 CTO,1.9 CTO,
"",,$6.84 $10.48 $15.21 $22.47 $30.23 $51.92,$82.45,
"",08,"2""",,
"",,20 CTO 12.6 CTO 8.5 CTO 3.29 CTO 4.4 CTO 2.6 CTO,1.65 CTO,
"",,$8.47 $12.93 $18.56 $28.36 $35.18 $60.42,$98.24,
"",10,"2 1/2""",,
"",,13 CTO 8.5 CTO 6.5 CTO 4.5 CTO 3.5 CTO 2.2 CTO,1.4 CTO,
"",,$10.27 $15.19 $22.34 $32.37 $42.41 $71.56,$107.32,
"",12,"3""",,
"",,10 CTO 8.7 CTO 5.5 CTO 4 CTO 3 CTO 1.85 CTO,1.2 CTO,
"",13,"3 1/4""",,
"",,$11.82 $17.70 $26.05 $38.75 $48.80 $81.20,$120.04,
"",14,"3 1/2""",,
"",,8 CTO 6 CTO 3.35 CTO 3.5 CTO 2.6 CTO 1.65 CTO,1 CTO,
"",,$13.62 $20.20 $29.31 $42.42 $55.96 $91.71,$134.47,
"",16,"4""",,
"",,8 CTO 4.75 CTO 4.2 CTO 2.75 CTO 2.3 CTO 1.45 CTO,1 CTO,
"",,$15.41 $23.47 $33.45 $49.43 $62.14 $106.80,$157.01,
"",18,"4 1/2""",,
"",,7 CTO 4 CTO 3.5 CTO 2.3 CTO 2 CTO 1.25 CTO,0.8 CTO,
"",,$16.74 $24.13 $35.13 $55.85 $66.15 $112.83,$171.68,
"",20,"5""",,
"",,5.5 CTO 4 CTO 3 CTO 2.6 CTO 1.75 CTO 1.2 CTO,0.78 CTO,
"",,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
"",,TUERCA HEXAGONAL PULGADA UNC - GR. 2 CINCADO,,
"",,04 05 06 07 08 10,12,
"",CÓD.,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 5/8""","Ø 3/4""",
"",,$1.55 $2.31 $3.43 $6.40 $8.09 $15.72,$25.49,
"",E0203,,,
"",,80 CTO 50 CTO 35 CTO 20 CTO 15 CTO 8 CTO,5 CTO,
"",,ARANDELA PLANA ESTÁNDAR PULGADA - GR. 2,,
"",,04 05 06 07 08 10,12,
"",CÓD.,"Ø 1/4"" Ø 5/16"" Ø 3/8"" Ø 7/16"" Ø 1/2"" Ø 5/8""","Ø 3/4""",
"",,$4.54 $3.58 $4.18 $5.22 $8.15 $12.41,$16.30,
"",E1203,,,
"",,0 CTO 0 CTO 0 CTO 0 CTO 0 CTO 0 CTO,0 CTO,
"",,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
Índice,,www.dina.com.pe,,51
