"",,,LÍNEA HEXAGONAL - AC. INOX 316
"",,,BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 316
"",,04,05 06 08 10 12 14 16
"",CÓD.,"Ø 1/4""","Ø 5/16"" Ø 3/8"" Ø 1/2"" Ø 5/8"" Ø 3/4"" Ø 7/8"" Ø 1"""
"",,,$25.63 $41.71 $38.49 $81.75 $111.97
"",I6E2800,,
"",,,50 PZA 20 PZA 15 PZA 10 PZA 5 PZA
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV)
"",,,TUERCA HEXAGONAL PULGADA UNC - AC. INOX 316
"",,04,05 06 08 10 12 14 16
"",CÓD.,"Ø 1/4""","Ø 5/16"" Ø 3/8"" Ø 1/2"" Ø 5/8"" Ø 3/4"" Ø 7/8"" Ø 1"""
"",,$9.20,$14.09 $18.90 $45.73 $94.00 $146.93 $219.31 $331.30
"",I6E0200,,
"",,90 CTO,60 CTO 40 CTO 15 CTO 6 CTO 4 CTO 3 CTO 1.5 CTO
"",,,ARANDELA PLANA PULGADA - AC. INOX 316
"",,04,05 06 08 10 12 14 16
"",CÓD.,"Ø 1/4""","Ø 5/16"" Ø 3/8"" Ø 1/2"" Ø 5/8"" Ø 3/4"" Ø 7/8"" Ø 1"""
"",,$5.17,$5.48 $7.53 $17.96 $34.36 $48.65 $71.45 $96.98
"",I6E1200,,
"",,150 CTO,120 CTO 80 CTO 30 CTO 25 CTO 11 CTO 8 CTO 5 CTO
"",,,ARANDELA PRESIÓN PULGADA - AC. INOX 316
"",,04,05 06 08 10 12 14 16
"",CÓD.,"Ø 1/4""","Ø 5/16"" Ø 3/8"" Ø 1/2"" Ø 5/8"" Ø 3/4"" Ø 7/8"" Ø 1"""
"",,$2.40,$4.07 $7.10 $15.51 $24.85 $40.99 $60.92 $100.91
"",I6E1400,,
"",,250 CTO,120 CTO 90 CTO 50 CTO 20 CTO 15 CTO 8 CTO 6 CTO
"",,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV)
46,,,@dinafastener Índice
