"","","",""
"","","LÍNEA ALLEN",""
"","","PERNO SOCKET PULGADA CAB. CILÍNDRICA UNC - GR. 8",""
"","","E3608 E3610 E3612 E3614 E3616",""
"","CÓD.","LARGO Ø 1/2"" Ø 5/8"" Ø 3/4"" Ø 7/8"" Ø 1""",""
"","01","3/8""",""
"","02","1/2""",""
"","021","5/8""",""
"","","$34.49",""
"","03","3/4""",""
"","","5 CTO",""
"","","$37.12 $67.05",""
"","04","1""",""
"","","5 CTO 3 CTO",""
"","","$49.37 $145.72",""
"","05","1 1/4""",""
"","","4 CTO 2.6 CTO",""
"","","$52.19 $159.55 $158.63",""
"","06","1 1/2""",""
"","","3.5 CTO 2 CTO 1.5 CTO",""
"","","$63.66 $188.65 $201.28 $377.93 $456.18",""
"","08","2""",""
"","","2.6 CTO 1.6 CTO 1 CTO 0.5 CTO 0.5 CTO",""
"","","$76.37 $223.57 $232.48",""
"","10","2 1/2""",""
"","","2.6 CTO 1.6 CTO 0.8 CTO",""
"","","$94.40 $254.14 $268.92 $483.52 $546.95",""
"","12","3""",""
"","","1.8 CTO 1.5 CTO 0.7 CTO 0.5 CTO 0.4 CTO",""
"","","$105.68 $290.07 $273.94",""
"","14","3 1/2""",""
"","","1.5 CTO 1.2 CTO 0.8 CTO",""
"","","$217.77 $328.17 $319.26 $603.78 $670.92",""
"","16","4""",""
"","","1.8 CTO 1.2 CTO 0.55 CTO 0.5 CTO 0.3 CTO",""
"","","$244.37 $357.82",""
"","18","4 1/2""",""
"","","1.5 CTO 1 CTO",""
"","","$264.47 $396.75 $378.19 $728.10 $834.77",""
"","20","5""",""
"","","1.5 CTO 1 CTO 0.5 CTO 0.4 CTO 0.3 CTO",""
"","","$317.09 $463.34 $448.66 $849.18 $920.51",""
"","24","6""",""
"","","1.2 CTO 0.8 CTO 0.45 CTO 0.4 CTO 0.25 CTO",""
"","","PRECIO DE VENTA POR CIENTO (INCLUYE IGV)",""
"104","","@dinafastener","Índice"
