"","","","LÍNEA ALLEN","",""
"","","","PRISIONERO ALLEN MÉTRICO RC - CL. 14.9","",""
"","","","M3804 M3805 M3806 M3808 M3810 M3812","",""
"","CÓD.","LARGO","Ø M4 Ø M5 Ø M6 Ø M8 Ø M10 Ø M12","",""
"","","","$3.30 $2.83 $3.47 $3.89","",""
"","02","10","","",""
"","","","150 CTO 130 CTO 150 CTO 110 CTO","",""
"","","","$4.25 $5.31 $6.35 $6.74 $12.99 $18.49","",""
"","03","16","","",""
"","","","130 CTO 90 CTO 100 CTO 40 CTO 45 CTO 15 CTO","",""
"","","","$5.66 $7.08 $8.37 $9.02 $17.10 $24.80","",""
"","04","20","","",""
"","","","100 CTO 60 CTO 80 CTO 25 CTO 30 CTO 10 CTO","",""
"","","","$7.55 $9.20 $10.68 $12.02 $22.51 $32.70","",""
"","05","25","","",""
"","","","70 CTO 46 CTO 65 CTO 18 CTO 22 CTO 8 CTO","",""
"","","","$9.44 $11.33 $13.28 $14.33 $27.48 $40.58","",""
"","06","30","","",""
"","","","70 CTO 55 CTO 27 CTO 16 CTO 13 CTO 15 CTO","",""
"","","","$15.58 $16.98 $32.46 $48.25","",""
"","07","35","","",""
"","","","20 CTO 16 CTO 13 CTO 12 CTO","",""
"","","","$18.17 $19.80 $37.88 $57.04","",""
"","08","40","","",""
"","","","18 CTO 15 CTO 10 CTO 9 CTO","",""
"","","","$64.70","",""
"","09","45","","",""
"","","","8 CTO","",""
"","","","$48.91 $72.15","",""
"","10","50","","",""
"","","","5.5 CTO 7.5 CTO","",""
"","","","PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","",""
"110","","","@dinafastener","","Índice"
